month,country,age_group,share_of_messages
2024-07-01,TH,55-64,0.035
2024-07-01,TH,65+,0.010
2024-07-01,TN,18-24,0.276
2024-07-01,TN,25-34,0.484
2024-07-01,TN,35-44,0.183
2024-07-01,TN,45-54,0.006
2024-07-01,TN,55-64,0.031
2024-07-01,TN,65+,0.020
2024-07-01,TR,18-24,0.229
2024-07-01,TR,25-34,0.498
2024-07-01,TR,35-44,0.186
2024-07-01,TR,45-54,0.056
2024-07-01,TR,55-64,0.017
2024-07-01,TR,65+,0.013
2024-07-01,TW,18-24,0.148
2024-07-01,TW,25-34,0.467
2024-07-01,TW,35-44,0.259
2024-07-01,TW,45-54,0.089
2024-07-01,TW,55-64,0.030
2024-07-01,TW,65+,0.006
2024-07-01,UA,18-24,0.267
2024-07-01,UA,25-34,0.473
2024-07-01,UA,35-44,0.172
2024-07-01,UA,45-54,0.064
2024-07-01,UA,55-64,0.014
2024-07-01,UA,65+,0.010
2024-07-01,US,18-24,0.212
2024-07-01,US,25-34,0.394
2024-07-01,US,35-44,0.232
2024-07-01,US,45-54,0.103
2024-07-01,US,55-64,0.041
2024-07-01,US,65+,0.019
2024-07-01,UY,18-24,0.351
2024-07-01,UY,25-34,0.338
2024-07-01,UY,35-44,0.252
2024-07-01,UY,45-54,0.059
2024-07-01,UY,55-64,0.000
2024-07-01,UY,65+,0.000
2024-07-01,UZ,18-24,0.413
2024-07-01,UZ,25-34,0.422
2024-07-01,UZ,35-44,0.107
2024-07-01,UZ,45-54,0.034
2024-07-01,UZ,55-64,0.008
2024-07-01,UZ,65+,0.016
2024-07-01,VN,18-24,0.514
2024-07-01,VN,25-34,0.374
2024-07-01,VN,35-44,0.084
2024-07-01,VN,45-54,0.018
2024-07-01,VN,55-64,0.002
2024-07-01,VN,65+,0.007
2024-07-01,ZA,18-24,0.252
2024-07-01,ZA,25-34,0.410
2024-07-01,ZA,35-44,0.245
2024-07-01,ZA,45-54,0.062
2024-07-01,ZA,55-64,0.017
2024-07-01,ZA,65+,0.014
2024-08-01,AE,18-24,0.119
2024-08-01,AE,25-34,0.443
2024-08-01,AE,35-44,0.317
2024-08-01,AE,45-54,0.107
2024-08-01,AE,55-64,0.014
2024-08-01,AE,65+,0.000
2024-08-01,AR,18-24,0.281
2024-08-01,AR,25-34,0.377
2024-08-01,AR,35-44,0.183
2024-08-01,AR,45-54,0.109
2024-08-01,AR,55-64,0.033
2024-08-01,AR,65+,0.016
2024-08-01,AT,18-24,0.160
2024-08-01,AT,25-34,0.428
2024-08-01,AT,35-44,0.302
2024-08-01,AT,45-54,0.081
2024-08-01,AT,55-64,0.026
2024-08-01,AT,65+,0.003
2024-08-01,AU,18-24,0.273
2024-08-01,AU,25-34,0.409
2024-08-01,AU,35-44,0.174
2024-08-01,AU,45-54,0.108
2024-08-01,AU,55-64,0.029
2024-08-01,AU,65+,0.006
2024-08-01,AZ,18-24,0.352
2024-08-01,AZ,25-34,0.407
2024-08-01,AZ,35-44,0.207
2024-08-01,AZ,45-54,0.029
2024-08-01,AZ,55-64,0.005
2024-08-01,AZ,65+,0.000
2024-08-01,BD,18-24,0.561
2024-08-01,BD,25-34,0.317
2024-08-01,BD,35-44,0.061
2024-08-01,BD,45-54,0.017
2024-08-01,BD,55-64,0.023
2024-08-01,BD,65+,0.020
2024-08-01,BE,18-24,0.250
2024-08-01,BE,25-34,0.404
2024-08-01,BE,35-44,0.178
2024-08-01,BE,45-54,0.126
2024-08-01,BE,55-64,0.021
2024-08-01,BE,65+,0.020
2024-08-01,BG,18-24,0.229
2024-08-01,BG,25-34,0.393
2024-08-01,BG,35-44,0.215
2024-08-01,BG,45-54,0.123
2024-08-01,BG,55-64,0.005
2024-08-01,BG,65+,0.035
2024-08-01,BO,18-24,0.487
2024-08-01,BO,25-34,0.312
2024-08-01,BO,35-44,0.127
2024-08-01,BO,45-54,0.058
2024-08-01,BO,55-64,0.007
2024-08-01,BO,65+,0.010
2024-08-01,BR,18-24,0.266
2024-08-01,BR,25-34,0.398
2024-08-01,BR,35-44,0.209
2024-08-01,BR,45-54,0.088
2024-08-01,BR,55-64,0.028
2024-08-01,BR,65+,0.011
2024-08-01,CA,18-24,0.194
2024-08-01,CA,25-34,0.403
2024-08-01,CA,35-44,0.232
2024-08-01,CA,45-54,0.112
2024-08-01,CA,55-64,0.041
2024-08-01,CA,65+,0.018
2024-08-01,CH,18-24,0.186
2024-08-01,CH,25-34,0.404
2024-08-01,CH,35-44,0.228
2024-08-01,CH,45-54,0.115
2024-08-01,CH,55-64,0.052
2024-08-01,CH,65+,0.015
2024-08-01,CL,18-24,0.233
2024-08-01,CL,25-34,0.408
2024-08-01,CL,35-44,0.228
2024-08-01,CL,45-54,0.078
2024-08-01,CL,55-64,0.035
2024-08-01,CL,65+,0.020
2024-08-01,CO,18-24,0.312
2024-08-01,CO,25-34,0.402
2024-08-01,CO,35-44,0.171
2024-08-01,CO,45-54,0.071
2024-08-01,CO,55-64,0.026
2024-08-01,CO,65+,0.019
2024-08-01,CR,18-24,0.219
2024-08-01,CR,25-34,0.357
2024-08-01,CR,35-44,0.225
2024-08-01,CR,45-54,0.140
2024-08-01,CR,55-64,0.025
2024-08-01,CR,65+,0.035
2024-08-01,CZ,18-24,0.211
2024-08-01,CZ,25-34,0.404
2024-08-01,CZ,35-44,0.224
2024-08-01,CZ,45-54,0.098
2024-08-01,CZ,55-64,0.048
2024-08-01,CZ,65+,0.015
2024-08-01,DE,18-24,0.199
2024-08-01,DE,25-34,0.464
2024-08-01,DE,35-44,0.208
2024-08-01,DE,45-54,0.081
2024-08-01,DE,55-64,0.030
2024-08-01,DE,65+,0.018
2024-08-01,DK,18-24,0.251
2024-08-01,DK,25-34,0.431
2024-08-01,DK,35-44,0.166
2024-08-01,DK,45-54,0.083
2024-08-01,DK,55-64,0.036
2024-08-01,DK,65+,0.033
2024-08-01,DO,18-24,0.298
2024-08-01,DO,25-34,0.419
2024-08-01,DO,35-44,0.164
2024-08-01,DO,45-54,0.054
2024-08-01,DO,55-64,0.033
2024-08-01,DO,65+,0.033
2024-08-01,DZ,18-24,0.298
2024-08-01,DZ,25-34,0.435
2024-08-01,DZ,35-44,0.165
2024-08-01,DZ,45-54,0.054
2024-08-01,DZ,55-64,0.021
2024-08-01,DZ,65+,0.027
2024-08-01,EC,18-24,0.369
2024-08-01,EC,25-34,0.401
2024-08-01,EC,35-44,0.149
2024-08-01,EC,45-54,0.056
2024-08-01,EC,55-64,0.021
2024-08-01,EC,65+,0.004
2024-08-01,EG,18-24,0.346
2024-08-01,EG,25-34,0.441
2024-08-01,EG,35-44,0.156
2024-08-01,EG,45-54,0.036
2024-08-01,EG,55-64,0.011
2024-08-01,EG,65+,0.010
2024-08-01,ES,18-24,0.169
2024-08-01,ES,25-34,0.392
2024-08-01,ES,35-44,0.228
2024-08-01,ES,45-54,0.151
2024-08-01,ES,55-64,0.042
2024-08-01,ES,65+,0.019
2024-08-01,ET,18-24,0.183
2024-08-01,ET,25-34,0.459
2024-08-01,ET,35-44,0.248
2024-08-01,ET,45-54,0.078
2024-08-01,ET,55-64,0.013
2024-08-01,ET,65+,0.019
2024-08-01,FI,18-24,0.209
2024-08-01,FI,25-34,0.486
2024-08-01,FI,35-44,0.168
2024-08-01,FI,45-54,0.121
2024-08-01,FI,55-64,0.014
2024-08-01,FI,65+,0.001
2024-08-01,FR,18-24,0.219
2024-08-01,FR,25-34,0.456
2024-08-01,FR,35-44,0.188
2024-08-01,FR,45-54,0.092
2024-08-01,FR,55-64,0.032
2024-08-01,FR,65+,0.013
2024-08-01,GB,18-24,0.175
2024-08-01,GB,25-34,0.434
2024-08-01,GB,35-44,0.225
2024-08-01,GB,45-54,0.113
2024-08-01,GB,55-64,0.038
2024-08-01,GB,65+,0.015
2024-08-01,GE,18-24,0.232
2024-08-01,GE,25-34,0.411
2024-08-01,GE,35-44,0.183
2024-08-01,GE,45-54,0.000
2024-08-01,GE,55-64,0.067
2024-08-01,GE,65+,0.106
2024-08-01,GH,18-24,0.344
2024-08-01,GH,25-34,0.408
2024-08-01,GH,35-44,0.195
2024-08-01,GH,45-54,0.053
2024-08-01,GH,55-64,0.000
2024-08-01,GH,65+,0.000
2024-08-01,GR,18-24,0.191
2024-08-01,GR,25-34,0.421
2024-08-01,GR,35-44,0.218
2024-08-01,GR,45-54,0.105
2024-08-01,GR,55-64,0.052
2024-08-01,GR,65+,0.013
2024-08-01,GT,18-24,0.471
2024-08-01,GT,25-34,0.392
2024-08-01,GT,35-44,0.072
2024-08-01,GT,45-54,0.042
2024-08-01,GT,55-64,0.023
2024-08-01,GT,65+,0.000
2024-08-01,HN,18-24,0.377
2024-08-01,HN,25-34,0.296
2024-08-01,HN,35-44,0.151
2024-08-01,HN,45-54,0.032
2024-08-01,HN,55-64,0.060
2024-08-01,HN,65+,0.083
2024-08-01,HR,18-24,0.216
2024-08-01,HR,25-34,0.391
2024-08-01,HR,35-44,0.253
2024-08-01,HR,45-54,0.139
2024-08-01,HR,55-64,0.000
2024-08-01,HR,65+,0.000
2024-08-01,HU,18-24,0.176
2024-08-01,HU,25-34,0.422
2024-08-01,HU,35-44,0.220
2024-08-01,HU,45-54,0.126
2024-08-01,HU,55-64,0.056
2024-08-01,HU,65+,0.000
2024-08-01,ID,18-24,0.466
2024-08-01,ID,25-34,0.385
2024-08-01,ID,35-44,0.089
